UID,GUID,TSCSystemKey,ProjectId,Ethid,LangID,Type,ProjectName,TSCRptName,TitleName,WebProductList,SponsorBeginYr,CurrEndYr,ActiveFlag,ReqFundingFlag,MktAsClusterFlag,Region,WebCountry,TSCPopTotal,PrayerCommits,PrayerCommitNeed,PrayerCommitGoal,LifetimeGivingAndPledgeBal,LifetimeOpp,LifetimeTotalNeed
26442-,UID2644200000,26442,26442,NULL,NULL,Project,Sena 2,NULL,Sena 2,Old Testament Portions-not Genesis,2005,2016,Y,N,N,Africa,Mozambique,1500000,15,0,10,250756.89,0,250756.89
70754-,UID7075400000,70754,70754,NULL,NULL,Project,Sepik Western Lumi Cluster,NULL,Sepik Western Lumi Cluster,Bible Stories,2015,2017,Y,Y,Y,Pacific,Papua New Guinea,8483,304,0,160,75867,90974.57,166841.57
70754-18988,UID7075418988,7075401381,70754,18988,1381,Language,Sepik Western Lumi Cluster,Seti,Sepik Western Lumi Cluster-Seti,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,113,19,0,10,4685.46,5868.77,10554.23
70754-18989,UID7075418989,7075401382,70754,18989,1382,Language,Sepik Western Lumi Cluster,Muno,Sepik Western Lumi Cluster-Muno,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,200,19,0,10,4685.46,5868.77,10554.23
70754-18990,UID7075418990,7075401383,70754,18990,1383,Language,Sepik Western Lumi Cluster,Seta,Sepik Western Lumi Cluster-Seta,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,200,19,0,10,4685.46,5868.77,10554.23
70754-18991,UID7075418991,7075401384,70754,18991,1384,Language,Sepik Western Lumi Cluster,You,Sepik Western Lumi Cluster-You,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,8483,19,0,10,4685.46,5868.77,10554.23
70754-19266,UID7075419266,7075401676,70754,19266,1676,Language,Sepik Western Lumi Cluster,Northern One,Sepik Western Lumi Cluster-Northern One,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,630,19,0,10,4685.46,5868.77,10554.23
70754-19267,UID7075419267,7075401677,70754,19267,1677,Language,Sepik Western Lumi Cluster,Kabore One,Sepik Western Lumi Cluster-Kabore One,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,700,19,0,10,4685.48,5868.76,10554.24
70754-19268,UID7075419268,7075401678,70754,19268,1678,Language,Sepik Western Lumi Cluster,Inebu One,Sepik Western Lumi Cluster-Inebu One,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,820,19,0,10,4685.46,5868.77,10554.23
70754-19269,UID7075419269,7075401679,70754,19269,1679,Language,Sepik Western Lumi Cluster,Molmo One,Sepik Western Lumi Cluster-Molmo One,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,840,19,0,10,4685.48,5868.76,10554.24
70754-19270,UID7075419270,7075401680,70754,19270,1680,Language,Sepik Western Lumi Cluster,Southern One,Sepik Western Lumi Cluster-Southern One,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,400,19,0,10,4685.46,5868.77,10554.23
70754-19271,UID7075419271,7075401681,70754,19271,1681,Language,Sepik Western Lumi Cluster,Kwamtim One,Sepik Western Lumi Cluster-Kwamtim One,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,130,19,0,10,4685.48,5868.76,10554.24
70754-19272,UID7075419272,7075401682,70754,19272,1682,Language,Sepik Western Lumi Cluster,Yis,Sepik Western Lumi Cluster-Yis,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,1300,19,0,10,4685.46,5868.77,10554.23
70754-19273,UID7075419273,7075401683,70754,19273,1683,Language,Sepik Western Lumi Cluster,Awtuw,Sepik Western Lumi Cluster-Awtuw,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,950,19,0,10,4685.48,5868.76,10554.24
70754-19275,UID7075419275,7075401685,70754,19275,1685,Language,Sepik Western Lumi Cluster,Yau,Sepik Western Lumi Cluster-Yau,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,400,19,0,10,4685.46,5868.77,10554.23
70754-19290,UID7075419290,7075401700,70754,19290,1700,Language,Sepik Western Lumi Cluster,Piaku One,Sepik Western Lumi Cluster-Piaku One,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,300,19,0,10,4685.48,5868.76,10554.24
70754-19327,UID7075419327,7075401737,70754,19327,1737,Language,Sepik Western Lumi Cluster,Olo,Sepik Western Lumi Cluster-Olo,Bible Stories,2015,2017,Y,Y,N,Pacific,Papua New Guinea,300,19,0,10,4685.46,5868.77,10554.23
70754-7723,UID7075407723,7075400606,70754,7723,606,Language,Sepik Western Lumi Cluster,Pouye,Sepik Western Lumi Cluster-Pouye,Bible Stories,2012,2017,Y,Y,N,Pacific,Papua New Guinea,1200,19,0,10,5585,2943.05,8528.05
70285-,UID7028500000,70285,70285,NULL,NULL,Project,Sesna ,NULL,Sesna ,Jesus Film,2016,2017,Y,Y,N,Asia,SE Asia,10000,4,6,10,71490.28,10557.55,82047.83
30234-,UID3023400000,30234,30234,NULL,NULL,Project,Seven Islands,NULL,Seven Islands,Bible Stories,2016,2019,Y,Y,N,Asia,Undisclosed,1002000,4,6,10,81682.21,235080.01,316762.22
40184-,UID4018400000,40184,40184,NULL,NULL,Project,Soja,NULL,Soja,Full New Testament,2015,2018,Y,Y,N,Asia - South,S Asia,120000,4,6,10,44883.96,0,44883.96
26543-,UID2654300000,26543,26543,NULL,NULL,Project,Soli,NULL,Soli,Full New Testament Jesus Film,2013,2017,Y,Y,N,Africa,Zambia,54400,9,1,10,256965.56,0,256965.56
20395-,UID2039500000,20395,20395,NULL,NULL,Project,Songo,NULL,Songo,Full New Testament,2015,2018,Y,Y,N,Africa,Angola,50000,4,6,10,189314,0,189314
26853-,UID2685300000,26853,26853,NULL,NULL,Project,South African Sign,NULL,South African Sign,Bible Stories,2013,2017,Y,Y,N,Africa,South Africa,600000,15,0,10,52268.3,49780.96,102049.26
30155-,UID3015500000,30155,30155,NULL,NULL,Project,South Seas Cluster,NULL,South Seas Cluster,Old Testament Portions-not Genesis,2016,2019,Y,Y,Y,Asia,Philippines,270000,6,14,20,19384.59,98064.52,117449.11
30155-18996,UID3015518996,3015501390,30155,18996,1390,Language,South Seas Cluster,Korb,South Seas Cluster-Korb,Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Asia,Philippines,158000,3,7,10,9692.3,49032.27,58724.57
30155-18997,UID3015518997,3015501391,30155,18997,1391,Language,South Seas Cluster,Sarb,South Seas Cluster-Sarb,Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Asia,Philippines,112000,3,7,10,9692.29,49032.27,58724.56
21154-,UID2115400000,21154,21154,NULL,NULL,Project,Southern Highlands Cluster,NULL,Southern Highlands Cluster,A Gospel,2015,2017,Y,Y,Y,Africa,Tanzania,752000,5,5,10,276695.21,172187.61,448882.82
21154-18969,UID2115418969,2115401356,21154,18969,1356,Language,Southern Highlands Cluster,Matengo,Southern Highlands Cluster-Matengo,A Gospel,2015,2017,Y,Y,N,Africa,Tanzania,350000,0,0,10,92231.74,57395.87,149627.61
21154-18970,UID2115418970,2115401357,21154,18970,1357,Language,Southern Highlands Cluster,Mpoto,Southern Highlands Cluster-Mpoto,A Gospel,2015,2017,Y,Y,N,Africa,Tanzania,200000,0,0,10,92231.75,57395.87,149627.62
21154-18971,UID2115418971,2115401358,21154,18971,1358,Language,Southern Highlands Cluster,Ludenda,Southern Highlands Cluster-Ludenda,A Gospel,2015,2017,Y,Y,N,Africa,Tanzania,202000,0,0,10,92231.73,57395.88,149627.61
40355-,UID4035500000,40355,40355,NULL,NULL,Project,Streamlands Cluster 2,NULL,Streamlands Cluster 2,Full New Testament,2015,2018,Y,N,Y,Asia - South,S Asia,1272000,18,12,30,473778.25,0,473778.25
40355-3573,UID4035503573,4035500197,40355,3573,197,Language,Streamlands Cluster 2,Ganbi,Streamlands Cluster 2-Ganbi,Full New Testament,2008,2018,Y,N,N,Asia - South,S Asia,725000,6,4,10,188712.26,0,188712.26
